gameid,clkTime,roundNum,condition,clickStatus,clickColH,clickColS,clickColL,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColS,alt1ColL,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColS,alt2ColL,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff,outcome,msgTime,role,contents,workerid_uniq,numOutcome,numRawWords,numRawChars,numCleanChars,numCleanWords,source
1124-1,1459877206546.0,1,close,distr2,248,92,50,3,1,target,226,81,50,1,2,distr1,283,87,50,2,3,19,10,17,False,1459877203862.0,speaker,The darker blue one,201.0,0.0,4,16,13.0,3.0,human
1124-1,1459877215560.0,2,far,target,249,25,50,1,2,distr2,54,53,50,3,3,distr1,129,66,50,2,1,58,61,25,True,1459877214034.0,speaker,purple,201.0,1.0,1,6,6.0,1.0,human
1124-1,1459877234848.0,3,close,distr2,291,59,50,3,3,target,301,57,50,2,2,distr1,302,86,50,1,1,6,5,10,False,1459877227433.0,speaker,Medium pink ~ the medium dark one,201.0,0.0,4,16,13.0,3.0,human
1124-1,1459877244759.0,4,split,distr1,85,21,50,2,1,target,87,66,50,1,2,distr2,299,29,50,3,3,19,80,57,False,1459877240480.0,speaker,lime,201.0,0.0,1,4,4.0,1.0,human
1124-1,1459877260559.0,5,far,target,156,84,50,1,3,distr2,239,87,50,2,2,distr1,57,64,50,3,1,29,73,92,True,1459877257997.0,speaker,Mint green.,201.0,1.0,2,9,9.0,2.0,human
1124-1,1459877272775.0,6,far,target,40,7,50,1,1,distr1,288,10,50,2,2,distr2,58,62,50,3,3,21,31,52,True,1459877267242.0,speaker,Mud brown,201.0,1.0,2,8,8.0,2.0,human
1124-1,1459877284039.0,7,split,target,82,9,50,1,1,distr1,139,23,50,2,2,distr2,295,80,50,3,3,13,52,46,True,1459877278380.0,speaker,Mud brown,201.0,1.0,2,8,8.0,2.0,human
1124-1,1459877298070.0,8,split,target,108,16,50,2,1,distr2,78,99,50,1,3,distr1,153,12,50,3,2,9,32,38,True,1459877294720.0,speaker,Camo green,201.0,1.0,2,9,9.0,2.0,human
1124-1,1459877308816.0,9,split,target,5,45,50,1,2,distr2,185,63,50,2,1,distr1,20,72,50,3,3,15,55,53,True,1459877305438.0,speaker,Darkish red,201.0,1.0,2,10,10.0,2.0,human
1124-1,1459877321157.0,10,far,target,215,13,50,3,3,distr1,164,81,50,2,2,distr2,92,84,50,1,1,39,50,21,True,1459877317105.0,speaker,Grey,201.0,1.0,1,4,4.0,1.0,human
1124-1,1459877330982.0,11,far,target,229,31,50,1,3,distr2,347,52,50,3,1,distr1,172,65,50,2,2,44,33,71,True,1459877326449.0,speaker,Purple,201.0,1.0,1,6,6.0,1.0,human
1124-1,1459877348021.0,12,close,target,116,59,50,2,1,distr2,160,77,50,3,3,distr1,140,86,50,1,2,9,15,12,True,1459877341443.0,speaker,"Darkest shade of green, forest green",201.0,1.0,6,30,28.0,5.0,human
1124-1,1459877368243.0,13,split,target,76,15,50,3,2,distr2,285,51,50,1,3,distr1,18,4,50,2,1,18,58,31,True,1459877360202.0,speaker,"One of the brown ones, the lighter shaded one",201.0,1.0,9,36,28.0,6.0,human
1124-1,1459877394556.0,14,split,target,311,17,50,1,1,distr1,285,18,50,3,3,distr2,113,59,50,2,2,5,67,69,True,1459877388314.0,speaker,The more vibrantly red one... not the more purple one,201.0,1.0,10,41,24.0,5.0,human
1124-1,1459877410628.0,15,far,target,209,44,50,1,2,distr2,85,74,50,2,1,distr1,264,61,50,3,3,27,61,98,True,1459877405477.0,speaker,blue,201.0,1.0,1,4,4.0,1.0,human
1124-1,1459877422292.0,16,far,target,210,95,50,1,3,distr2,45,48,50,3,2,distr1,192,50,50,2,1,21,58,42,True,1459877420301.0,speaker,Plain blue,201.0,1.0,2,9,9.0,2.0,human
1124-1,1459877437901.0,17,far,target,50,48,50,3,3,distr1,289,9,50,2,1,distr2,176,62,50,1,2,43,35,44,True,1459877434580.0,speaker,Yellowish brownish orangish yellow ~ lol,201.0,1.0,1,3,3.0,1.0,human
1124-1,1459877457645.0,18,split,target,116,8,50,2,1,distr1,104,35,50,3,3,distr2,304,75,50,1,2,18,54,84,True,1459877453536.0,speaker,Like that description? Haha ~ Thank you. ~ Grey,201.0,1.0,1,4,4.0,1.0,human
1124-1,1459877468091.0,19,split,target,113,21,50,3,3,distr1,145,34,50,2,2,distr2,354,41,50,1,1,7,53,61,True,1459877465029.0,speaker,Camo green,201.0,1.0,2,9,9.0,2.0,human
1124-1,1459877480228.0,20,close,target,264,1,50,2,1,distr2,236,11,50,1,2,distr1,200,11,50,3,3,9,11,14,True,1459877476435.0,speaker,Brown,201.0,1.0,1,5,5.0,1.0,human
1124-1,1459877488787.0,21,close,distr2,315,71,50,3,1,target,326,78,50,1,3,distr1,343,28,50,2,2,14,7,17,False,1459877486554.0,speaker,Neon pink,201.0,0.0,2,8,8.0,2.0,human
1124-1,1459877508563.0,22,split,target,93,2,50,3,3,distr1,10,5,50,2,1,distr2,42,99,50,1,2,9,35,35,True,1459877505647.0,speaker,oopsies. I think they're both a bit neon ~ the greyish one that's not the browner one,201.0,1.0,8,35,20.0,4.0,human
1124-1,1459877516262.0,23,split,target,25,17,50,2,2,distr1,68,0,50,1,3,distr2,312,48,50,3,1,13,34,27,True,1459877513986.0,speaker,Brown,201.0,1.0,1,5,5.0,1.0,human
1124-1,1459877526355.0,24,split,target,120,39,50,2,2,distr2,179,65,50,1,3,distr1,131,81,50,3,1,14,27,30,True,1459877525206.0,speaker,forest green,201.0,1.0,2,11,11.0,2.0,human
1124-1,1459877536754.0,25,close,target,84,4,50,2,1,distr2,81,16,50,3,3,distr1,39,17,50,1,2,11,12,13,True,1459877534343.0,speaker,greyest one,201.0,1.0,2,10,10.0,2.0,human
1124-1,1459877550507.0,26,close,target,332,43,50,2,1,distr2,189,5,50,1,2,distr1,307,61,50,3,3,13,19,15,True,1459877544164.0,speaker,darker red,201.0,1.0,2,9,9.0,2.0,human
1124-1,1459877556618.0,27,close,target,350,88,50,2,3,distr2,19,34,50,1,1,distr1,355,23,50,3,2,19,19,14,True,1459877555342.0,speaker,red,201.0,1.0,1,3,3.0,1.0,human
1124-1,1459877568858.0,28,close,target,299,44,50,3,1,distr2,297,84,50,1,3,distr1,328,78,50,2,2,14,9,16,True,1459877564218.0,speaker,"purple, darker one",201.0,1.0,3,15,15.0,3.0,human
1124-1,1459877578418.0,29,split,target,14,70,50,2,3,distr2,302,57,50,3,1,distr1,21,34,50,1,2,13,40,38,True,1459877573831.0,speaker,orange,201.0,1.0,1,6,6.0,1.0,human
1124-1,1459877586169.0,30,split,target,93,60,50,3,2,distr1,85,86,50,2,1,distr2,351,41,50,1,3,9,70,75,True,1459877583958.0,speaker,dark green,201.0,1.0,2,9,9.0,2.0,human
1124-1,1459877595593.0,31,far,target,336,6,50,3,1,distr2,166,67,50,1,2,distr1,90,55,50,2,3,43,43,22,True,1459877594082.0,speaker,grey,201.0,1.0,1,4,4.0,1.0,human
1124-1,1459877604881.0,32,split,distr1,93,14,50,3,3,distr2,299,80,50,2,2,target,162,51,50,1,1,19,51,62,False,1459877603545.0,speaker,green,201.0,0.0,1,5,5.0,1.0,human
1124-1,1459877628913.0,33,close,target,46,38,50,3,3,distr2,32,35,50,2,2,distr1,44,62,50,1,1,8,11,16,True,1459877621758.0,speaker,"brown. not the yellow one or classic brown one, the weirder one",201.0,1.0,12,50,39.0,8.0,human
1124-1,1459877668913.0,34,close,distr2,263,39,50,3,3,target,290,26,50,2,2,distr1,303,50,50,1,1,10,10,15,False,1459877662786.0,speaker,Hahaha. Me too. This one is purple. Not neon and not lavender,201.0,0.0,12,47,27.0,5.0,human
1124-1,1459877676889.0,35,far,target,6,92,50,2,3,distr1,289,48,50,1,1,distr2,125,26,50,3,2,41,62,49,True,1459877673645.0,speaker,Red,201.0,1.0,1,3,3.0,1.0,human
1124-1,1459877688639.0,36,split,target,83,70,50,1,1,distr1,116,57,50,2,2,distr2,186,80,50,3,3,11,42,39,True,1459877686121.0,speaker,"Lime green, not forest green",201.0,1.0,5,23,20.0,4.0,human
1124-1,1459877694569.0,37,split,target,210,34,50,3,2,distr2,116,17,50,1,3,distr1,276,1,50,2,1,18,35,23,True,1459877693574.0,speaker,blue,201.0,1.0,1,4,4.0,1.0,human
1124-1,1459877729047.0,39,close,target,20,10,50,3,2,distr2,337,19,50,1,3,distr1,243,5,50,2,1,12,16,16,True,1459877727869.0,speaker,light brown,201.0,1.0,2,10,10.0,2.0,human
1124-1,1459877735759.0,40,far,target,27,28,50,3,1,distr2,131,12,50,2,3,distr1,163,98,50,1,2,48,27,30,True,1459877734028.0,speaker,brown,201.0,1.0,1,5,5.0,1.0,human
1124-1,1459877745055.0,41,close,target,241,57,50,2,1,distr1,267,52,50,3,3,distr2,279,77,50,1,2,9,14,7,True,1459877743751.0,speaker,blue,201.0,1.0,1,4,4.0,1.0,human
1124-1,1459877764335.0,42,close,distr2,178,31,50,1,1,distr1,188,15,50,2,3,target,171,42,50,3,2,17,6,12,False,1459877758186.0,speaker,lightest shade of teal/blue/green,201.0,0.0,4,28,26.0,5.0,human
1124-1,1459877773943.0,43,far,target,245,82,50,3,1,distr1,246,8,50,2,2,distr2,317,61,50,1,3,30,28,25,True,1459877772714.0,speaker,blue,201.0,1.0,1,4,4.0,1.0,human
1124-1,1459877785822.0,44,far,target,159,24,50,1,1,distr2,149,78,50,2,3,distr1,262,5,50,3,2,28,23,41,True,1459877783344.0,speaker,dark yucky green,201.0,1.0,3,14,14.0,3.0,human
1124-1,1459877793597.0,45,far,target,185,8,50,2,2,distr1,82,94,50,3,1,distr2,278,73,50,1,3,42,23,103,True,1459877790884.0,speaker,grey,201.0,1.0,1,4,4.0,1.0,human
1124-1,1459877814455.0,46,far,target,167,10,50,1,1,distr2,348,99,50,2,2,distr1,131,98,50,3,3,38,44,91,True,1459877799660.0,speaker,grey,201.0,1.0,1,4,4.0,1.0,human
1124-1,1459877825950.0,47,far,target,18,84,50,1,1,distr2,142,51,50,3,2,distr1,193,25,50,2,3,43,65,32,True,1459877819765.0,speaker,red,201.0,1.0,1,3,3.0,1.0,human
1124-1,1459877838255.0,48,close,target,149,48,50,3,1,distr2,166,77,50,1,2,distr1,142,95,50,2,3,17,11,17,True,1459877837362.0,speaker,dark green,201.0,1.0,2,9,9.0,2.0,human
1124-1,1459877853389.0,49,close,target,121,24,50,2,2,distr2,100,28,50,3,1,distr1,87,10,50,1,3,13,5,13,True,1459877847202.0,speaker,not camo and not brown,201.0,1.0,5,18,9.0,2.0,human
1124-1,1459877868045.0,50,far,target,63,62,50,2,3,distr2,161,2,50,1,1,distr1,18,98,50,3,2,51,35,33,True,1459877866326.0,speaker,YELLOW!!!!,201.0,1.0,1,6,6.0,1.0,human
8235-6,1459877229621.0,1,split,target,105,56,50,1,1,distr2,227,79,50,2,2,distr1,71,67,50,3,3,14,71,90,True,1459877227080.0,speaker,"select the bright green, not the olive",968.0,1.0,7,31,22.0,4.0,human
8235-6,1459877241811.0,2,far,target,116,35,50,2,1,distr1,65,75,50,3,2,distr2,327,31,50,1,3,23,66,70,True,1459877239384.0,speaker,green,968.0,1.0,1,5,5.0,1.0,human
8235-6,1459877249756.0,3,far,target,8,61,50,3,2,distr2,109,65,50,1,1,distr1,285,65,50,2,3,39,72,99,True,1459877248368.0,speaker,red,968.0,1.0,1,3,3.0,1.0,human
8235-6,1459877257613.0,4,far,target,52,3,50,1,1,distr2,209,73,50,2,3,distr1,319,71,50,3,2,34,30,43,True,1459877256462.0,speaker,grey,968.0,1.0,1,4,4.0,1.0,human
8235-6,1459877283191.0,5,close,target,21,33,50,3,3,distr2,20,10,50,1,2,distr1,350,25,50,2,1,17,12,17,True,1459877278107.0,speaker,brownish-cream; not grey or pinkish,968.0,1.0,5,29,24.0,4.0,human
8235-6,1459877293890.0,6,far,target,228,30,50,1,1,distr2,179,12,50,3,2,distr1,322,98,50,2,3,35,26,25,True,1459877292185.0,speaker,blue,968.0,1.0,1,4,4.0,1.0,human
8235-6,1459877307724.0,7,close,target,298,0,50,3,1,distr2,348,12,50,1,2,distr1,227,21,50,2,3,17,14,19,True,1459877304567.0,speaker,grey (you're doing great),968.0,1.0,4,20,9.0,2.0,human
8235-6,1459877330182.0,8,close,target,164,84,50,3,1,distr1,108,54,50,1,3,distr2,120,40,50,2,2,18,19,6,True,1459877326552.0,speaker,teal (not the two that are more green),968.0,1.0,8,29,12.0,3.0,human
